# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 10 and 100 resources.
# All costs follow quadratic functions with RNG seeds [700..799].
# - We schedule from 1.000 to 10.000 tasks in increments of 100.
# - We run OLAR, and the extended versions of Fed-LBAP, FedAvg, and
# Proportional.
# -- For Proportional, we generate three different results using
# three different values for k (1, #tasks/#resources, #tasks)
# - All resources have a lower limit of 4, except the resource with the
# highest cost for the number of tasks. That resource gets a minimum of
# (tasks/resources)/4.
# - All resources have an upper limit of 2*(tasks/resources), except the
# resource with the lowest cost for the number of tasks. That resource
# gets an upper limit of (tasks/resources)/2.
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Makespan
Proportional-(tasks/res),3200,10,921637.1726895672
Proportional-(tasks),3200,10,924607.9470536489
FedAvg,3200,10,1022050.2039496328
Fed-LBAP,3200,10,510175.22653104586
OLAR,3200,10,510175.22653104586
Proportional-(1),3300,10,1121797.1415014486
Proportional-(tasks/res),3300,10,981960.9073876663
Proportional-(tasks),3300,10,981960.9073876663
FedAvg,3300,10,1089793.2758470378
Fed-LBAP,3300,10,542292.8975682703
OLAR,3300,10,542292.8975682703
Proportional-(1),3400,10,1188895.7386959079
Proportional-(tasks/res),3400,10,1041039.5378129673
Proportional-(tasks),3400,10,1041039.5378129673
FedAvg,3400,10,1153264.0813945588
Fed-LBAP,3400,10,576162.2920237785
OLAR,3400,10,576162.2920237785
Proportional-(1),3500,10,1257943.1794409256
Proportional-(tasks/res),3500,10,1101843.8383295522
Proportional-(tasks),3500,10,1105091.8671681338
FedAvg,3500,10,1225156.7817016994
Fed-LBAP,3500,10,610032.5599138917
OLAR,3500,10,610032.5599138917
Proportional-(1),3600,10,1335490.308270012
Proportional-(tasks/res),3600,10,1164373.8089374206
Proportional-(tasks),3600,10,1167712.6625176487
FedAvg,3600,10,1299223.0968901305
Fed-LBAP,3600,10,645562.2475546738
OLAR,3600,10,645562.2475546738
Proportional-(1),3700,10,1408612.603711652
Proportional-(tasks/res),3700,10,1232059.127958447
Proportional-(tasks),3700,10,1232059.127958447
FedAvg,3700,10,1368442.3054294933
Fed-LBAP,3700,10,681757.4674094564
OLAR,3700,10,681757.4674094564
Proportional-(1),3800,10,1483683.7427038508
Proportional-(tasks/res),3800,10,1298131.2634905293
Proportional-(tasks),3800,10,1301656.5468036106
FedAvg,3800,10,1446658.24902766
Fed-LBAP,3800,10,718372.3637655324
OLAR,3800,10,718372.3637655324
Proportional-(1),3900,10,1567802.1787116793
Proportional-(tasks/res),3900,10,1369545.1771686228
Proportional-(tasks),3900,10,1369545.1771686228
FedAvg,3900,10,1519649.847030419
Fed-LBAP,3900,10,757087.1371086421
OLAR,3900,10,757087.1371086421
Proportional-(1),4000,10,1646948.1724005002
Proportional-(tasks/res),4000,10,1439159.477624919
Proportional-(tasks),4000,10,1442871.1906708537
FedAvg,4000,10,1602015.4190383216
Fed-LBAP,4000,10,795975.1500414567
OLAR,4000,10,795975.1500414567
Proportional-(1),4100,10,1728043.0096398795
Proportional-(tasks/res),4100,10,1510499.4481724985
Proportional-(tasks),4100,10,1514301.9859600798
FedAvg,4100,10,1678779.4065044764
Fed-LBAP,4100,10,837338.5157714598
OLAR,4100,10,837338.5157714598
Proportional-(1),4200,10,1818732.752826451
Proportional-(tasks/res),4200,10,1587458.4513405897
Proportional-(tasks),4200,10,1591356.5941193777
FedAvg,4200,10,1765294.606922115
Fed-LBAP,4200,10,877716.8777209417
OLAR,4200,10,877716.8777209417
Proportional-(1),4300,10,1903902.4447624527
Proportional-(tasks/res),4300,10,1662340.586812383
Proportional-(tasks),4300,10,1666329.5543328174
FedAvg,4300,10,1845830.9838516663
Fed-LBAP,4300,10,919462.188947555
OLAR,4300,10,919462.188947555
Proportional-(1),4400,10,1991020.9802490126
Proportional-(tasks/res),4400,10,1743028.1846375414
Proportional-(tasks),4400,10,1743028.1846375414
FedAvg,4400,10,1936495.8126790402
Fed-LBAP,4400,10,963663.0164967022
OLAR,4400,10,963663.0164967022
Proportional-(1),4500,10,2080088.3592861313
Proportional-(tasks/res),4500,10,1821452.4850335482
Proportional-(tasks),4500,10,1821452.4850335482
FedAvg,4500,10,2029334.256387705
Fed-LBAP,4500,10,1007532.300751752
OLAR,4500,10,1007532.300751752
Proportional-(1),4600,10,2179475.4207975096
Proportional-(tasks/res),4600,10,1901602.455520839
Proportional-(tasks),4600,10,1905868.6775157738
FedAvg,4600,10,2115619.036309098
Fed-LBAP,4600,10,1052573.0529673016
OLAR,4600,10,1052573.0529673016
Proportional-(1),4700,10,2272617.65453125
Proportional-(tasks/res),4700,10,1987835.1428359947
Proportional-(tasks),4700,10,1987835.1428359947
FedAvg,4700,10,2212607.1084274985
Fed-LBAP,4700,10,1098600.5897405308
OLAR,4700,10,1098600.5897405308
Proportional-(1),4800,10,2367708.731815549
Proportional-(tasks/res),4800,10,2071527.2782474991
Proportional-(tasks),4800,10,2075979.9299752873
FedAvg,4800,10,2302664.277812287
Fed-LBAP,4800,10,1145971.1453596996
OLAR,4800,10,1145971.1453596996
Proportional-(1),4900,10,2464748.652650407
Proportional-(tasks/res),4900,10,2156945.0837502875
Proportional-(tasks),4900,10,2161488.560219722
FedAvg,4900,10,2403801.978340423
Fed-LBAP,4900,10,1193469.1439064525
OLAR,4900,10,1193469.1439064525
Proportional-(1),5000,10,2572833.032486592
Proportional-(tasks/res),5000,10,2248722.8605554407
Proportional-(tasks),5000,10,2248722.8605554407
FedAvg,5000,10,2497631.537188609
Fed-LBAP,5000,10,1243460.908011332
OLAR,5000,10,1243460.908011332
Proportional-(1),5100,10,2673947.808018072
Proportional-(tasks/res),5100,10,2337682.830982442
Proportional-(tasks),5100,10,2342412.7371847304
FedAvg,5100,10,2602918.866126481
Fed-LBAP,5100,10,1293509.5842543098
OLAR,5100,10,1293509.5842543098
Proportional-(1),5200,10,2777011.42710011
Proportional-(tasks/res),5200,10,2433189.2024446623
Proportional-(tasks),5200,10,2433189.2024446623
FedAvg,5200,10,2700520.8144380627
Fed-LBAP,5200,10,1344332.8060262946
OLAR,5200,10,1344332.8060262946
Proportional-(1),5300,10,2891667.1141150375
Proportional-(tasks/res),5300,10,2525691.3377958783
Proportional-(tasks),5300,10,2530607.6737310193
FedAvg,5300,10,2809957.77178567
Fed-LBAP,5300,10,1396164.5546946959
OLAR,5300,10,1396164.5546946959
Proportional-(1),5400,10,2998805.5878936984
Proportional-(tasks/res),5400,10,2619919.1432383773
Proportional-(tasks),5400,10,2624926.3039151654
FedAvg,5400,10,2921568.344014568
Fed-LBAP,5400,10,1449318.9055317075
OLAR,5400,10,1449318.9055317075
Proportional-(1),5500,10,3107892.9052229174
Proportional-(tasks/res),5500,10,2720970.604190595
Proportional-(tasks),5500,10,2720970.604190595
FedAvg,5500,10,3024918.6953179915
Fed-LBAP,5500,10,1504477.5043659676
OLAR,5500,10,1504477.5043659676
Proportional-(1),5600,10,3229119.8994165864
Proportional-(tasks/res),5600,10,2818740.574557308
Proportional-(tasks),5600,10,2823934.1649669493
FedAvg,5600,10,3140678.895956625
Fed-LBAP,5600,10,1558628.1971798497
OLAR,5600,10,1558628.1971798497
Proportional-(1),5700,10,3342282.071442428
Proportional-(tasks/res),5700,10,2918236.215015305
Proportional-(tasks),5700,10,2923520.630166593
