# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 100 resources.
# All costs follow linear functions with RNG seeds [0..99].
# - We schedule from 1.000 to 10.000 tasks with steps of 1000.
# - We run OLAR and the extended versions of Fed-LBAP, FedAvg, and
# Proportional.
# - All resources have a lower limit of 4, except the resource with the
# highest cost for the number of tasks. That resource gets a minimum of
# (tasks/resources)/4.
# - All resources have an upper limit of 2*(tasks/resources), except the
# resource with the lowest cost for the number of tasks. That resource
# gets an upper limit of (tasks/resources)/2.
# - Each sample is composed of 100 executions of the schedulers.
# - We get 50 samples for each pair (scheduler, tasks)
# - The order of execution of the different schedulers is
# randomly defined. We set an initial RNG seed = 0 and increase
# it every time we need a new order.
Scheduler,Tasks,Resources,Time
OLAR,1000,100,0.12553042600001163
OLAR,1000,100,0.12515942999999652
FedAvg,1000,100,0.1055218850000017
Fed-LBAP,1000,100,0.5170097190000149
Proportional,1000,100,0.2703131410000026
Fed-LBAP,1000,100,0.4755090489999816
Proportional,1000,100,0.2688163159999988
OLAR,1000,100,0.12601679700000545
FedAvg,1000,100,0.10516010899999628
Proportional,1000,100,0.2669256549999943
FedAvg,1000,100,0.10535094400000844
Fed-LBAP,1000,100,0.4720216449999839
OLAR,1000,100,0.12405846400000087
Proportional,1000,100,0.27144795300000624
Fed-LBAP,1000,100,0.47103717900000674
FedAvg,1000,100,0.10507707900001151
OLAR,1000,100,0.1264862360000052
Proportional,1000,100,0.2687211120000086
Fed-LBAP,1000,100,0.47082443100001115
OLAR,1000,100,0.1255474099999958
FedAvg,1000,100,0.1054585930000087
Proportional,1000,100,0.27069267300001343
FedAvg,1000,100,0.10573188200001482
Fed-LBAP,1000,100,0.48245591599999216
OLAR,1000,100,0.12466602499998203
OLAR,1000,100,0.12791321899999275
Proportional,1000,100,0.27134880400001293
FedAvg,1000,100,0.10541035900001816
Fed-LBAP,1000,100,0.47933795999998097
Fed-LBAP,1000,100,0.47596984399999087
FedAvg,1000,100,0.10483467099999189
Proportional,1000,100,0.2700041239999962
OLAR,1000,100,0.12485652000000869
Fed-LBAP,1000,100,0.4768475609999996
Proportional,1000,100,0.269990727999982
OLAR,1000,100,0.12714623100001177
FedAvg,1000,100,0.10532488000001194
Proportional,1000,100,0.2686161340000126
FedAvg,1000,100,0.105352173
Fed-LBAP,1000,100,0.4750359660000072
OLAR,1000,100,0.12538087200002224
Fed-LBAP,1000,100,0.4777588679999951
Proportional,1000,100,0.2705183029999887
OLAR,1000,100,0.12534638000002474
FedAvg,1000,100,0.1074514129999784
OLAR,1000,100,0.12482192999999597
FedAvg,1000,100,0.10566576600001554
Fed-LBAP,1000,100,0.47596246499998074
Proportional,1000,100,0.2698014229999899
FedAvg,1000,100,0.10563927199999057
Proportional,1000,100,0.2728899899999817
OLAR,1000,100,0.12447699499998066
Fed-LBAP,1000,100,0.4796209689999955
Fed-LBAP,1000,100,0.47759484599998814
OLAR,1000,100,0.12611724300001015
Proportional,1000,100,0.26962715300001605
FedAvg,1000,100,0.10543113299999618
Fed-LBAP,1000,100,0.48306594400000336
OLAR,1000,100,0.12485901900001295
Proportional,1000,100,0.2707536669999797
FedAvg,1000,100,0.10546325600000728
Fed-LBAP,2000,100,0.5580698799999766
OLAR,2000,100,0.30393232000000125
FedAvg,2000,100,0.25531842699999174
Proportional,2000,100,0.646175420999981
Proportional,2000,100,0.648850637999999
OLAR,2000,100,0.30332386099999553
FedAvg,2000,100,0.2554646199999979
Fed-LBAP,2000,100,0.5593736069999977
FedAvg,2000,100,0.2544993510000211
Proportional,2000,100,0.6501857940000093
Fed-LBAP,2000,100,0.5557723039999871
OLAR,2000,100,0.3038296659999844
OLAR,2000,100,0.3042233129999943
Fed-LBAP,2000,100,0.5610654290000241
Proportional,2000,100,0.6512284170000271
FedAvg,2000,100,0.25480471299999863
Proportional,2000,100,0.6508615490000125
FedAvg,2000,100,0.2547682649999956
OLAR,2000,100,0.30430128400001877
Fed-LBAP,2000,100,0.5571840929999894
Proportional,2000,100,0.6469462199999896
Fed-LBAP,2000,100,0.5565219230000196
FedAvg,2000,100,0.2548748250000017
OLAR,2000,100,0.30384741299999973
OLAR,2000,100,0.30548563099998205
Fed-LBAP,2000,100,0.563864854000002
Proportional,2000,100,0.6497425099999816
FedAvg,2000,100,0.25610341200001585
Proportional,2000,100,0.6520878620000019
Fed-LBAP,2000,100,0.5592171459999804
OLAR,2000,100,0.30590788000000657
FedAvg,2000,100,0.2550078620000136
OLAR,2000,100,0.3036236049999843
Proportional,2000,100,0.6477451439999982
FedAvg,2000,100,0.2553723219999995
Fed-LBAP,2000,100,0.5592736290000175
Proportional,2000,100,0.6518546830000105
OLAR,2000,100,0.30684158399998296
FedAvg,2000,100,0.25405141600001
Fed-LBAP,2000,100,0.5598537760000113
Proportional,2000,100,0.6491340759999957
OLAR,2000,100,0.3102552990000049
Fed-LBAP,2000,100,0.5586328589999994
FedAvg,2000,100,0.2556391089999863
OLAR,2000,100,0.304859601000004
Fed-LBAP,2000,100,0.553446723999997
Proportional,2000,100,0.6488554550000174
FedAvg,2000,100,0.2550802319999832
OLAR,2000,100,0.30288321099999393
FedAvg,2000,100,0.25474927499999467
Proportional,2000,100,0.6495002329999977
Fed-LBAP,2000,100,0.5612877940000089
Proportional,2000,100,0.6515361300000109
OLAR,2000,100,0.3046829640000226
Fed-LBAP,2000,100,0.5588169369999889
FedAvg,2000,100,0.25488235400001713
Proportional,2000,100,0.6513560519999828
OLAR,2000,100,0.3046854379999786
Fed-LBAP,2000,100,0.5598263999999631
FedAvg,2000,100,0.2559016499999984
Fed-LBAP,2000,100,0.5608778019999932
FedAvg,2000,100,0.25416489499997397
OLAR,2000,100,0.3062708589999943
Proportional,2000,100,0.6477706439999906
FedAvg,2000,100,0.2566355870000052
OLAR,2000,100,0.30661933999999746
Proportional,2000,100,0.647310675999961
Fed-LBAP,2000,100,0.5612974320000035
FedAvg,2000,100,0.2552140310000368
Fed-LBAP,2000,100,0.5574388879999788
OLAR,2000,100,0.3079412609999963
Proportional,2000,100,0.6455603910000036
FedAvg,2000,100,0.2550171020000107
OLAR,2000,100,0.3063666990000229
Proportional,2000,100,0.6491797360000078
Fed-LBAP,2000,100,0.5553008599999885
OLAR,2000,100,0.30630403300000353
FedAvg,2000,100,0.2553739570000175
Proportional,2000,100,0.6513756009999838
Fed-LBAP,2000,100,0.5942368650000276
Proportional,2000,100,0.6702827109999703
OLAR,2000,100,0.3077562789999888
Fed-LBAP,2000,100,0.5557752700000265
FedAvg,2000,100,0.2608024499999715
Proportional,2000,100,0.7023766380000325
