# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for
# 100 to 1.000 resources with steps of 100.
# - All costs follow linear functions with RNG seeds [0..999].
# - We schedule 10.000 tasks.
# - We run OLAR, Fed-LBAP, FedAvg, Random, and Proportional.
# - All resources have a lower limit of 4, except the resource with the
# highest cost for the number of tasks. That resource gets a minimum of
# (tasks/resources)/4.
# - All resources have an upper limit of 2*(tasks/resources), except the
# resource with the lowest cost for the number of tasks. That resource
# gets an upper limit of (tasks/resources)/2.
# - Each sample is composed of 100 executions of the schedulers.
# - We get 50 samples for each pair (scheduler, tasks)
# - The order of execution of the different schedulers is
# randomly defined. We set an initial RNG seed = 1000 and increase
# it every time we need a new order.
Limits,Tasks,Resources,Time
Upper,10000,100,1.9269055689999846
Lower,10000,100,1.8583197460000065
Upper,10000,100,1.9246571679999533
Both,10000,100,1.8514202950000254
None,10000,100,1.9360578170000053
Lower,10000,100,1.8633186389999992
Upper,10000,100,1.9259316949999743
None,10000,100,1.9428044900000145
Both,10000,100,1.8496069229999534
None,10000,100,1.930243040999983
Upper,10000,100,1.9299875100000463
Lower,10000,100,1.856340156999977
Both,10000,100,1.8514876829999594
Upper,10000,100,1.9358776210000315
Lower,10000,100,1.8578910390000374
None,10000,100,1.9349082470000667
Both,10000,100,1.8469120700000303
Upper,10000,100,1.930003180999961
Lower,10000,100,1.873929526999973
Both,10000,100,1.8431236239999862
None,10000,100,2.034563129999924
None,10000,100,2.0060673680000036
Lower,10000,100,1.883986606999997
Both,10000,100,1.852725568999972
Upper,10000,100,2.0813289349999877
None,10000,100,2.0435585230000015
Upper,10000,100,1.9313949729998967
Lower,10000,100,1.8547842909999872
Both,10000,100,1.8749553289999312
Upper,10000,100,1.9251794770000288
Both,10000,100,1.8467071259999557
Lower,10000,100,1.8559572049999815
None,10000,100,1.9403271169999243
Lower,10000,500,1.678887230999976
Upper,10000,500,2.0837121069999966
None,10000,500,2.057994778999955
Both,10000,500,1.685548993999987
Upper,10000,500,2.0848276320000423
Lower,10000,500,1.6767803300000423
Both,10000,500,1.6922882559999834
None,10000,500,2.0585529290000295
Upper,10000,500,2.0809358979998933
None,10000,500,2.058843116000048
Lower,10000,500,1.674864447999994
Both,10000,500,1.6884794049999527
Upper,10000,500,2.08750020399998
None,10000,500,2.0623178339999413
Lower,10000,500,1.6781026559999646
Both,10000,500,1.689338934000034
Upper,10000,500,2.084212539999953
None,10000,500,2.0593570140000566
Both,10000,500,1.7276658980000548
Lower,10000,500,1.6784220209999603
Both,10000,500,1.6856272029999673
Lower,10000,500,1.6781541830000606
Upper,10000,500,2.082643800000028
None,10000,500,2.059566220000079
None,10000,500,2.069637180999962
Both,10000,500,1.6903755570000385
Lower,10000,500,1.6798081069999853
Upper,10000,500,2.0815684110000348
Lower,10000,500,1.6768413640000972
Both,10000,500,1.688355678999983
None,10000,500,2.0622813410000163
Upper,10000,500,2.0869411339999715
Both,10000,500,1.6875053800000615
None,10000,500,2.0617039389999263
Lower,10000,500,1.6746426930000098
Upper,10000,500,2.0827476689999003
Upper,10000,500,2.08550126800003
Lower,10000,500,1.6813098520000267
Both,10000,500,1.6878517179999335
None,10000,500,2.0573760979999633
Both,10000,500,1.6872447330000568
Lower,10000,500,1.6751239120000037
None,10000,500,2.058149403000016
Upper,10000,500,2.0829648110000107
Both,10000,500,1.682595986000024
None,10000,500,2.0573929039999257
Upper,10000,500,2.0815981339999325
Lower,10000,500,1.680447318000006
Upper,10000,500,2.0878960940000297
Both,10000,500,1.6835884839999835
None,10000,500,2.063318949000063
Lower,10000,500,1.6777359870000055
Both,10000,500,1.685900609999976
Lower,10000,500,1.6777122070000132
None,10000,500,2.063646690999917
Upper,10000,500,2.0890807370000175
Upper,10000,500,2.0810374070000535
Lower,10000,500,1.6841565589999163
Both,10000,500,1.6871589950000043
None,10000,500,2.058374095999966
Both,10000,500,1.6818065840000145
None,10000,500,2.0596166220000214
Upper,10000,500,2.083916201999955
Lower,10000,500,1.6801313099999788
Both,10000,500,1.6871610559999226
Upper,10000,500,2.0865754330000073
Lower,10000,500,1.6758831320000809
None,10000,500,2.0573278929999788
Upper,10000,500,2.0813277810000272
Lower,10000,500,1.6766528559999188
Both,10000,500,1.6897933379999586
None,10000,500,2.0627005000000054
Upper,10000,500,2.082765944000016
None,10000,500,2.063037017000056
Both,10000,500,1.6866808879999553
Lower,10000,500,1.6786704820000296
Upper,10000,500,2.0828130290000217
None,10000,500,2.0625380039999754
Both,10000,500,1.6885400410000102
Lower,10000,500,1.6840444200000775
None,10000,500,2.0775810279999405
Both,10000,500,1.6873515419999876
Upper,10000,500,2.079742548000013
Lower,10000,500,1.6822474460000194
Lower,10000,500,1.6804739299999483
Upper,10000,500,2.083237893000046
Both,10000,500,1.6839809729999615
None,10000,500,2.059986588000015
Upper,10000,500,2.0832024879999835
Lower,10000,500,1.6791593799999873
None,10000,500,2.0639772689999063
Both,10000,500,1.68946314599998
None,10000,500,2.0642802380000376
Both,10000,500,1.684869889999959
Lower,10000,500,1.680462375999923
Upper,10000,500,2.0863513570000123
Upper,10000,500,2.0840765359999978
None,10000,500,2.0586443389998976
Both,10000,500,1.689369817999932
Lower,10000,500,1.6823586240000168
None,10000,500,2.0597454570000764
Upper,10000,500,2.088097151999932
Lower,10000,500,1.6778383370000256
Both,10000,500,1.6884719929998937
None,10000,500,2.063667531999954
Lower,10000,500,1.6819652789999964
Upper,10000,500,2.0943051130000185
Both,10000,500,1.6868911270000808
Both,10000,500,1.6872774200001004
Lower,10000,500,1.6851094639999928
Upper,10000,500,2.0813099929999908
None,10000,500,2.0602292549999675
Upper,10000,500,2.0877032199999803
Lower,10000,500,1.6744036970000025
None,10000,500,2.0582275009999194
Both,10000,500,1.7441050549999773
Both,10000,500,1.863064109999982
Upper,10000,500,2.1736267090000183
Lower,10000,500,1.6827369170000566
None,10000,500,2.065141605000008
None,10000,500,2.0650762499999473
Upper,10000,500,2.0908394870000393
Both,10000,500,1.6834218940000483
Lower,10000,500,1.6807628450001175
Both,10000,500,1.6900770980000743
Upper,10000,500,2.108340695999914
None,10000,500,2.0637569120001444
Lower,10000,500,1.6823565099998632
Upper,10000,500,2.092881843999976
Lower,10000,500,1.6814546860000519
Both,10000,500,1.6916056659999867
None,10000,500,2.062842344000046
Both,10000,500,1.6892557169999236
Lower,10000,500,1.6872021910000967
Upper,10000,500,2.086002753999992
None,10000,500,2.0621170089998486
Lower,10000,500,1.6863445670001056
Both,10000,500,1.6911277720000726
Upper,10000,500,2.0970996719997856
None,10000,500,2.0652850339999986
None,10000,500,2.0651341550001234
Both,10000,500,1.6914389060000303
Upper,10000,500,2.0929898279998724
Lower,10000,500,1.6833629680002105
None,10000,500,2.073538892999977
Upper,10000,500,2.0935646090001683
Both,10000,500,1.6869482919998973
Lower,10000,500,1.682689592000088
Both,10000,500,1.6860892649999641
Lower,10000,500,1.6858726610000758
Upper,10000,500,2.0969147079999857
None,10000,500,2.071502023999983
Lower,10000,500,1.6829107189998922
Both,10000,500,1.6887580150000758
Upper,10000,500,2.0928750800001126
None,10000,500,2.062620147999951
Upper,10000,500,2.0906135600000653
None,10000,500,2.063313988000118
Lower,10000,500,1.6816189759999816
Both,10000,500,1.701401297000075
Upper,10000,500,2.0930107959998168
Lower,10000,500,1.6823728370000026
None,10000,500,2.0602741889999834
Both,10000,500,1.6962325060001149
Lower,10000,500,1.685526181999876
None,10000,500,2.069035883999959
Upper,10000,500,2.0876164549999885
Both,10000,500,1.7009261069999866
Lower,10000,500,1.6824121160000232
Upper,10000,500,2.088425156000085
Both,10000,500,1.688663384999927
None,10000,500,2.0613927129998046
Upper,10000,500,2.0986246380000466
None,10000,500,2.06703672499998
Both,10000,500,1.6885020369998074
Lower,10000,500,1.6814032820000193
Upper,10000,500,2.107901890999983
Both,10000,500,1.6916688399999202
Lower,10000,500,1.6789544140001453
None,10000,500,2.0612606669999423
Lower,10000,500,1.6799972530000105
None,10000,500,2.065548091999972
Upper,10000,500,2.0861659719998897
Both,10000,500,1.701631276999933
Both,10000,500,1.6898235690000547
None,10000,500,2.065518678999979
Lower,10000,500,1.6839952499999526
Upper,10000,500,2.0876918439998917
Upper,10000,500,2.0968010619999404
None,10000,500,2.067350165999869
Lower,10000,500,1.6827020010000524
Both,10000,500,1.6855974119998791
None,10000,500,2.05972513100005
Both,10000,500,1.7137949279999702
Upper,10000,500,2.0878795590001573
Lower,10000,500,1.6843175019998853
Lower,10000,500,1.6814210529998945
Upper,10000,500,2.087353893999989
None,10000,500,2.0648739359999126
Both,10000,500,1.6925814189999073
Both,10000,1000,1.3665345750000597
None,10000,1000,2.1613389949998236
Lower,10000,1000,1.359316218999993
Upper,10000,1000,2.1954791789999035
Upper,10000,1000,2.199636814000087
None,10000,1000,2.164452699000094
Both,10000,1000,1.3630769930000497
Lower,10000,1000,1.3578957800000353
None,10000,1000,2.165478989000121
Lower,10000,1000,1.35605534299998
Both,10000,1000,1.3650760269999864
Upper,10000,1000,2.209683201999951
Upper,10000,1000,2.1997925670000313
None,10000,1000,2.1671491679999235
Lower,10000,1000,1.3599834829999509
Both,10000,1000,1.3995514420000745
Upper,10000,1000,2.1970370720000574
Lower,10000,1000,1.469288084000027
None,10000,1000,2.1644529669999883
Both,10000,1000,1.3626356209999813
Lower,10000,1000,1.355839509999896
Upper,10000,1000,2.1993370659999982
Both,10000,1000,1.3632330020000154
None,10000,1000,2.1793955030000234
Both,10000,1000,1.3652249349997874
None,10000,1000,2.1707347219999065
Lower,10000,1000,1.3579687500000546
Upper,10000,1000,2.2449583699999494
None,10000,1000,2.1653313639999396
Lower,10000,1000,1.3572943690001011
Upper,10000,1000,2.194798937000087
Both,10000,1000,1.363784497999859
Lower,10000,1000,1.3618980359999568
Upper,10000,1000,2.195202115000029
Both,10000,1000,1.4497015279998777
None,10000,1000,2.2583794869999565
Upper,10000,1000,2.195768692999991
Both,10000,1000,1.36346352999999
None,10000,1000,2.168407117000015
Lower,10000,1000,1.3582610329999625
Upper,10000,1000,2.1946692699998493
Lower,10000,1000,1.4176824999999553
Both,10000,1000,1.3651316129999032
None,10000,1000,2.163615445000005
Upper,10000,1000,2.198356949000072
None,10000,1000,2.168735538999954
Lower,10000,1000,1.3587572459998682
Both,10000,1000,1.3619992369999636
Upper,10000,1000,2.1940403959999912
Lower,10000,1000,1.3562874989997908
None,10000,1000,2.1644386159998703
Both,10000,1000,1.3641228049998517
None,10000,1000,2.162447074000056
Upper,10000,1000,2.197692939000035
Lower,10000,1000,1.3588585260001764
Both,10000,1000,1.3679901420000533
