# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 10 and 100 resources.
# All costs follow linear functions with RNG seeds [100..199].
# - We schedule from 1.000 to 10.000 tasks in increments of 100.
# - We run OLAR, Fed-LBAP, FedAvg, Random, and Proportional.
# -- For Random, we generate three different results using three
# starting RNG seeds (4000, 5000, 6000). We increment the starting RNG seed
# each time we change the number of tasks.
# -- For Proportional, we generate three different results using
# three different values for k (1, #tasks/#resources, #tasks)
# - We use no lower or upper limits.
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Makespan
Proportional-(tasks/res),2400,10,891.8644016832441
Proportional-(tasks),2400,10,885.7270854030043
FedAvg,2400,10,2302.379497036283
Fed-LBAP,2400,10,883.0764972064292
OLAR,2400,10,883.0764972064292
Random-(seed:4000),2500,10,2698.85199764131
Random-(seed:5000),2500,10,3470.3617596286626
Random-(seed:6000),2500,10,2196.903136401191
Proportional-(1),2500,10,1774.997693860824
Proportional-(tasks/res),2500,10,927.2838123799969
Proportional-(tasks),2500,10,920.7803300614459
FedAvg,2500,10,2398.2670976136387
Fed-LBAP,2500,10,919.0747041394615
OLAR,2500,10,919.0747041394615
Random-(seed:4000),2600,10,3493.740843325249
Random-(seed:5000),2600,10,4095.4776278328427
Random-(seed:6000),2600,10,2647.574859114765
Proportional-(1),2600,10,1851.707774322709
Proportional-(tasks/res),2600,10,962.8648796121903
Proportional-(tasks),2600,10,962.7032230767496
FedAvg,2600,10,2494.154698190995
Fed-LBAP,2600,10,955.4997317747225
OLAR,2600,10,955.4997317747225
Random-(seed:4000),2700,10,4383.140429564911
Random-(seed:5000),2700,10,4258.486548814348
Random-(seed:6000),2700,10,2595.043082574517
Proportional-(1),2700,10,1918.8290947268583
Proportional-(tasks/res),2700,10,999.6809293030698
Proportional-(tasks),2700,10,998.1226337735025
FedAvg,2700,10,2590.0422987683514
Fed-LBAP,2700,10,992.0492946310351
OLAR,2700,10,992.0492946310351
Random-(seed:4000),2800,10,2815.747416124242
Random-(seed:5000),2800,10,3913.291186735866
Random-(seed:6000),2800,10,2717.763248210782
Proportional-(1),2800,10,1995.5391751887432
Proportional-(tasks/res),2800,10,1036.4969789939496
Proportional-(tasks),2800,10,1033.5420444702552
FedAvg,2800,10,2685.9298993457073
Fed-LBAP,2800,10,1028.7055171870315
OLAR,2800,10,1028.7055171870315
Random-(seed:4000),2900,10,4459.850510026796
Random-(seed:5000),2900,10,2829.7613002117414
Random-(seed:6000),2900,10,3021.5365013664536
Proportional-(1),2900,10,2062.6604955928924
Proportional-(tasks/res),2900,10,1068.961455167008
Proportional-(tasks),2900,10,1068.961455167008
FedAvg,2900,10,2781.8174999230637
Fed-LBAP,2900,10,1065.3617397430278
OLAR,2900,10,1065.3617397430278
Random-(seed:4000),3000,10,3291.122117954833
Random-(seed:5000),3000,10,4132.769131031946
Random-(seed:6000),3000,10,3270.84426286758
Proportional-(1),3000,10,2139.3705760547773
Proportional-(tasks/res),3000,10,1111.4647480031113
Proportional-(tasks),3000,10,1104.3808658637606
FedAvg,3000,10,2877.7051005004196
Fed-LBAP,3000,10,1101.9163480809314
OLAR,3000,10,1101.9163480809314
Random-(seed:4000),3100,10,2258.6315999384765
Random-(seed:5000),3100,10,3874.9361465049237
Random-(seed:6000),3100,10,4258.486548814348
Proportional-(1),3100,10,2206.4918964589265
Proportional-(tasks/res),3100,10,1146.884158699864
Proportional-(tasks),3100,10,1141.6157714096282
FedAvg,3100,10,2973.592701077776
Fed-LBAP,3100,10,1138.4291154954592
OLAR,3100,10,1138.4291154954592
Random-(seed:4000),3200,10,4037.945067486429
Random-(seed:5000),3200,10,3491.385744195499
Random-(seed:6000),3200,10,2782.9960167818485
Proportional-(1),3200,10,2273.613216863076
Proportional-(tasks/res),3200,10,1182.3035693966167
Proportional-(tasks),3200,10,1182.3035693966167
FedAvg,3200,10,3069.480301655132
Fed-LBAP,3200,10,1175.0947962654766
OLAR,3200,10,1175.0947962654766
Random-(seed:4000),3300,10,3524.9129549206978
Random-(seed:5000),3300,10,3807.814826100774
Random-(seed:6000),3300,10,5169.418754299231
Proportional-(1),3300,10,2350.323297324961
Proportional-(tasks/res),3300,10,1217.7229800933696
Proportional-(tasks),3300,10,1217.7229800933696
FedAvg,3300,10,3165.367902232488
Fed-LBAP,3300,10,1210.639097954019
OLAR,3300,10,1210.639097954019
Random-(seed:4000),3400,10,3731.104745638889
Random-(seed:5000),3400,10,4642.036951123772
Random-(seed:6000),3400,10,4536.560590488681
Proportional-(1),3400,10,2417.44461772911
Proportional-(tasks/res),3400,10,1253.1423907901224
Proportional-(tasks),3400,10,1253.1423907901224
FedAvg,3400,10,3261.255502809844
Fed-LBAP,3400,10,1247.7706873445143
OLAR,3400,10,1247.7706873445143
Random-(seed:4000),3500,10,3981.4431354363733
Random-(seed:5000),3500,10,3201.209979111525
Random-(seed:6000),3500,10,2932.022457816204
Proportional-(1),3500,10,2494.154698190995
Proportional-(tasks/res),3500,10,1288.561801486875
Proportional-(tasks),3500,10,1288.561801486875
FedAvg,3500,10,3357.1431033872004
Fed-LBAP,3500,10,1285.0918385755285
OLAR,3500,10,1285.0918385755285
Random-(seed:4000),3600,10,7000.871925326734
Random-(seed:5000),3600,10,4514.627498076191
Random-(seed:6000),3600,10,5111.886193952818
Proportional-(1),3600,10,2561.2760185951443
Proportional-(tasks/res),3600,10,1324.8893682391727
Proportional-(tasks),3600,10,1324.8893682391727
FedAvg,3600,10,3453.0307039645563
Fed-LBAP,3600,10,1320.4480307466165
OLAR,3600,10,1320.4480307466165
Random-(seed:4000),3700,10,3986.865973077344
Random-(seed:5000),3700,10,4105.066387890578
Random-(seed:6000),3700,10,4086.695246530345
Proportional-(1),3700,10,2637.986099057029
Proportional-(tasks/res),3700,10,1366.4845050197312
Proportional-(tasks),3700,10,1361.7054179300521
FedAvg,3700,10,3548.9183045419127
Fed-LBAP,3700,10,1358.1919942024617
OLAR,3700,10,1358.1919942024617
Random-(seed:4000),3800,10,5044.764873548668
Random-(seed:5000),3800,10,5572.146676724127
Random-(seed:6000),3800,10,3779.0485459275674
Proportional-(1),3800,10,2705.107419461179
Proportional-(tasks/res),3800,10,1401.903915716484
Proportional-(tasks),3800,10,1401.903915716484
FedAvg,3800,10,3644.8059051192686
Fed-LBAP,3800,10,1394.1431173655144
OLAR,3800,10,1394.1431173655144
Random-(seed:4000),3900,10,3746.668903841518
Random-(seed:5000),3900,10,4117.183075234221
Random-(seed:6000),3900,10,8784.38129606556
Proportional-(1),3900,10,2781.8174999230637
Proportional-(tasks/res),3900,10,1437.3233264132368
Proportional-(tasks),3900,10,1437.3233264132368
FedAvg,3900,10,3740.693505696625
Fed-LBAP,3900,10,1430.2394442738862
OLAR,3900,10,1430.2394442738862
Random-(seed:4000),4000,10,5917.34203880261
Random-(seed:5000),4000,10,5025.587353433198
Random-(seed:6000),4000,10,4756.211362940918
Proportional-(1),4000,10,2848.938820327213
Proportional-(tasks/res),4000,10,1472.7427371099895
Proportional-(tasks),4000,10,1472.7427371099895
FedAvg,4000,10,3836.5811062739813
Fed-LBAP,4000,10,1467.1107538266858
OLAR,4000,10,1467.1107538266858
Random-(seed:4000),4100,10,6617.321523017309
Random-(seed:5000),4100,10,5524.723320818508
Random-(seed:6000),4100,10,3923.7659573252818
Proportional-(1),4100,10,2916.060140731362
Proportional-(tasks/res),4100,10,1508.9696166935703
Proportional-(tasks),4100,10,1508.9696166935703
FedAvg,4100,10,3932.468706851337
Fed-LBAP,4100,10,1503.2063335127632
OLAR,4100,10,1503.2063335127632
Random-(seed:4000),4200,10,4805.045872105278
Random-(seed:5000),4200,10,3845.843253792426
Random-(seed:6000),4200,10,4490.476528473327
Proportional-(1),4200,10,2992.770221193247
Proportional-(tasks/res),4200,10,1545.78566638445
Proportional-(tasks),4200,10,1545.78566638445
FedAvg,4200,10,4028.3563074286935
Fed-LBAP,4200,10,1540.4421153667204
OLAR,4200,10,1540.4421153667204
Random-(seed:4000),4300,10,2402.716937484548
Random-(seed:5000),4300,10,4268.075308872084
Random-(seed:6000),4300,10,3442.061971849444
Proportional-(1),4300,10,3059.891541597396
Proportional-(tasks/res),4300,10,1586.0848513395983
Proportional-(tasks),4300,10,1582.6017160753295
FedAvg,4300,10,4124.243908006049
Fed-LBAP,4300,10,1576.4666705495672
OLAR,4300,10,1576.4666705495672
Random-(seed:4000),4400,10,6521.433922439953
Random-(seed:5000),4400,10,4974.416144109058
Random-(seed:6000),4400,10,5044.764873548668
Proportional-(1),4400,10,3136.6016220592815
Proportional-(tasks/res),4400,10,1621.5042620363513
Proportional-(tasks),4400,10,1619.417765766209
FedAvg,4400,10,4220.131508583406
Fed-LBAP,4400,10,1613.2817574843957
OLAR,4400,10,1613.2817574843957
Random-(seed:4000),4500,10,5466.670316089036
Random-(seed:5000),4500,10,3618.1130134913365
Random-(seed:6000),4500,10,4327.547239268263
Proportional-(1),4500,10,3203.7229424634306
Proportional-(tasks/res),4500,10,1656.923672733104
Proportional-(tasks),4500,10,1656.923672733104
FedAvg,4500,10,4316.019109160762
Fed-LBAP,4500,10,1649.8878189570323
OLAR,4500,10,1649.8878189570323
Random-(seed:4000),4600,10,4447.973235637223
Random-(seed:5000),4600,10,6065.440049949759
Random-(seed:6000),4600,10,6013.511188433696
Proportional-(1),4600,10,3280.4330229253155
Proportional-(tasks/res),4600,10,1693.0498651479681
Proportional-(tasks),4600,10,1692.3430834298567
FedAvg,4600,10,4411.906709738118
Fed-LBAP,4600,10,1686.409001518002
OLAR,4600,10,1686.409001518002
Random-(seed:4000),4700,10,5535.514152827132
Random-(seed:5000),4700,10,7062.947621004114
Random-(seed:6000),4700,10,5496.549013332822
Proportional-(1),4700,10,3347.5543433294647
Proportional-(tasks/res),4700,10,1729.8659148388476
Proportional-(tasks),4700,10,1727.7624941266097
FedAvg,4700,10,4507.794310315474
Fed-LBAP,4700,10,1722.8391005705673
OLAR,4700,10,1722.8391005705673
Random-(seed:4000),4800,10,9493.949540337995
Random-(seed:5000),4800,10,6105.601656245253
Random-(seed:6000),4800,10,4411.301533991242
Proportional-(1),4800,10,3414.675663733614
Proportional-(tasks/res),4800,10,1766.6819645297273
Proportional-(tasks),4800,10,1763.1819048233624
FedAvg,4800,10,4603.68191089283
Fed-LBAP,4800,10,1758.79022373362
OLAR,4800,10,1758.79022373362
Random-(seed:4000),4900,10,4969.678287636249
Random-(seed:5000),4900,10,7365.244807520688
Random-(seed:6000),4900,10,8005.903996766434
Proportional-(1),4900,10,3491.385744195499
Proportional-(tasks/res),4900,10,1805.6851976594658
Proportional-(tasks),4900,10,1798.6013155201151
FedAvg,4900,10,4699.569511470187
Fed-LBAP,4900,10,1795.7923921579122
OLAR,4900,10,1795.7923921579122
Random-(seed:4000),5000,10,6603.1589749712475
Random-(seed:5000),5000,10,5356.274511153303
Random-(seed:6000),5000,10,5859.809478456195
Proportional-(1),5000,10,3558.5070645996484
Proportional-(tasks/res),5000,10,1841.1046083562185
Proportional-(tasks),5000,10,1835.670015646773
FedAvg,5000,10,4795.457112047542
Fed-LBAP,5000,10,1832.5302542072377
OLAR,5000,10,1832.5302542072377
Random-(seed:4000),5100,10,7192.647126481446
Random-(seed:5000),5100,10,5169.418754299231
Random-(seed:6000),5100,10,8113.168092024065
Proportional-(1),5100,10,3635.2171450615333
Proportional-(tasks/res),5100,10,1877.1301136023658
Proportional-(tasks),5100,10,1876.5240190529712
FedAvg,5100,10,4891.344712624898
Fed-LBAP,5100,10,1869.2115305915675
OLAR,5100,10,1869.2115305915675
Random-(seed:4000),5200,10,7298.123487116538
Random-(seed:5000),5200,10,4270.876182153459
Random-(seed:6000),5200,10,3831.6754895137246
Proportional-(1),5200,10,3702.3384654656825
Proportional-(tasks/res),5200,10,1911.943429749724
Proportional-(tasks),5200,10,1911.943429749724
FedAvg,5200,10,4987.232313202255
Fed-LBAP,5200,10,1905.400173317945
OLAR,5200,10,1905.400173317945
Random-(seed:4000),5300,10,7033.590216500176
Random-(seed:5000),5300,10,6626.910283075044
Random-(seed:6000),5300,10,6027.678952712397
Proportional-(1),5300,10,3779.0485459275674
Proportional-(tasks/res),5300,10,1947.3628404464769
Proportional-(tasks),5300,10,1947.3628404464769
FedAvg,5300,10,5083.119913779611
Fed-LBAP,5300,10,1942.4551152379813
