# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for
# 100 to 1.000 resources with steps of 100.
# - All costs follow linear functions with RNG seeds [0..999].
# - We schedule 10.000 tasks.
# - We run OLAR, Fed-LBAP, FedAvg, Random, and Proportional.
# - All resources have a lower limit of 4, except the resource with the
# highest cost for the number of tasks. That resource gets a minimum of
# (tasks/resources)/4.
# - All resources have an upper limit of 2*(tasks/resources), except the
# resource with the lowest cost for the number of tasks. That resource
# gets an upper limit of (tasks/resources)/2.
# - Each sample is composed of 100 executions of the schedulers.
# - We get 50 samples for each pair (scheduler, tasks)
# - The order of execution of the different schedulers is
# randomly defined. We set an initial RNG seed = 1000 and increase
# it every time we need a new order.
Scheduler,Tasks,Resources,Time
OLAR,10000,100,1.8040466609999726
Proportional,10000,100,3.766154309000001
FedAvg,10000,100,1.521733150999978
Fed-LBAP,10000,100,0.7439259750000247
FedAvg,10000,100,1.5158877709999956
Proportional,10000,100,3.734086005999984
OLAR,10000,100,1.794840733000001
FedAvg,10000,100,1.5075565659999484
Proportional,10000,100,3.741818420999948
Fed-LBAP,10000,100,0.7378664139999955
OLAR,10000,100,1.8003660780000246
Proportional,10000,100,3.728022524000039
OLAR,10000,100,1.8138822629999822
FedAvg,10000,100,1.5214806669999916
Fed-LBAP,10000,100,0.7424357180000243
OLAR,10000,100,1.7982551200000216
FedAvg,10000,100,1.5181663749999643
Proportional,10000,100,3.715775743999984
Fed-LBAP,10000,100,0.7388110470000129
OLAR,10000,100,1.8017480729999988
FedAvg,10000,100,1.5236573930000077
Proportional,10000,100,3.7125567709999814
Fed-LBAP,10000,100,0.7460194359999832
OLAR,10000,100,1.7973651270000346
FedAvg,10000,100,1.5163020210000013
Proportional,10000,100,3.7233975550000196
Fed-LBAP,10000,100,0.7424056360000577
OLAR,10000,100,1.8053975089999312
Fed-LBAP,10000,100,0.7373178629999302
Proportional,10000,100,3.7837229099999377
FedAvg,10000,100,1.5178957419999506
OLAR,10000,100,1.8045556199999737
Fed-LBAP,10000,100,0.7413844689999678
FedAvg,10000,100,1.5175920020000149
Proportional,10000,100,3.7228725719999147
FedAvg,10000,100,1.5221353639999506
Fed-LBAP,10000,100,0.7431690390000085
OLAR,10000,100,1.8009768199999598
Proportional,10000,100,3.771949405999976
Fed-LBAP,10000,100,0.7444757020000452
OLAR,10000,100,1.805349676999981
FedAvg,10000,100,1.523264051999945
Proportional,10000,100,3.7304899389999946
Fed-LBAP,10000,100,0.7438888560000123
OLAR,10000,100,1.8018039700000372
Proportional,10000,100,3.7222736590000522
FedAvg,10000,100,1.5169247149999592
FedAvg,10000,100,1.5212182049999683
OLAR,10000,100,1.7978198889999248
Proportional,10000,100,3.7185085180000215
Fed-LBAP,10000,100,0.7392297119999967
FedAvg,10000,100,1.5163643339999453
Fed-LBAP,10000,100,0.7421456619999844
OLAR,10000,100,1.800157737999939
Proportional,10000,100,3.7456932639998968
Fed-LBAP,10000,100,0.7532256829999824
Proportional,10000,100,3.717246848000059
OLAR,10000,100,1.8015610299999025
FedAvg,10000,100,1.5148947680000902
OLAR,10000,200,1.8425220830000626
Fed-LBAP,10000,200,1.4018051250000099
FedAvg,10000,200,1.5307435129999476
Proportional,10000,200,3.7501841499999955
Fed-LBAP,10000,200,1.40298428899996
OLAR,10000,200,1.8386268049999899
Proportional,10000,200,3.732189166000012
FedAvg,10000,200,1.5293584970000893
Fed-LBAP,10000,200,1.4099933430001101
FedAvg,10000,200,1.5336984369999982
OLAR,10000,200,1.837536908000061
Proportional,10000,200,3.7632577159999983
Fed-LBAP,10000,200,1.4052603029999773
