# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 10 and 100 resources.
# All costs follow recursive functions with RNG seeds [0..99].
# - We schedule from 1.000 to 10.000 tasks in increments of 100.
# - We run OLAR, Fed-LBAP, FedAvg, Random, and Proportional.
# -- For Random, we generate three different results using three
# starting RNG seeds (1000, 2000, 3000). We increment the starting RNG seed
# each time we change the number of tasks.
# -- For Proportional, we generate three different results using
# three different values for k (1, #tasks/#resources, #tasks)
# - We use no lower or upper limits.
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Makespan
Proportional-(tasks/res),2400,10,1337.086590124276
Proportional-(tasks),2400,10,1371.60422138082
FedAvg,2400,10,1376.2385137361848
Fed-LBAP,2400,10,1323.586483372595
OLAR,2400,10,1323.586483372595
Random-(seed:1000),2500,10,1908.4822083715887
Random-(seed:2000),2500,10,1988.082451061054
Random-(seed:3000),2500,10,1948.2884696376927
Proportional-(1),2500,10,2361.7106292108156
Proportional-(tasks/res),2500,10,1387.284778163661
Proportional-(tasks),2500,10,1407.2354367164446
FedAvg,2500,10,1427.1733820082202
Fed-LBAP,2500,10,1376.2385137361848
OLAR,2500,10,1376.2385137361848
Random-(seed:1000),2600,10,1823.6258705442092
Random-(seed:2000),2600,10,1855.2437507872362
Random-(seed:3000),2600,10,2228.17090834202
Proportional-(1),2600,10,2456.2135184653707
Proportional-(tasks/res),2600,10,1441.7868372488329
Proportional-(tasks),2600,10,1462.8078440935487
FedAvg,2600,10,1472.3579469954686
Fed-LBAP,2600,10,1431.1239073494778
OLAR,2600,10,1431.1239073494778
Random-(seed:1000),2700,10,2192.156170993827
Random-(seed:2000),2700,10,3273.213504420314
Random-(seed:3000),2700,10,2412.8146602711054
Proportional-(1),2700,10,2558.374893935038
Proportional-(tasks/res),2700,10,1502.6078384745326
Proportional-(tasks),2700,10,1512.4294559613163
FedAvg,2700,10,1517.3467069358687
Fed-LBAP,2700,10,1487.3809889297115
OLAR,2700,10,1487.3809889297115
Random-(seed:1000),2800,10,2891.197404133697
Random-(seed:2000),2800,10,2240.2339137671247
Random-(seed:3000),2800,10,2639.003908412433
Proportional-(1),2800,10,2673.6315515684482
Proportional-(tasks/res),2800,10,1564.553198099235
Proportional-(tasks),2800,10,1573.2174569800666
FedAvg,2800,10,1578.053897480274
Fed-LBAP,2800,10,1547.0816999193194
OLAR,2800,10,1547.0816999193194
Random-(seed:1000),2900,10,3545.1220092232184
Random-(seed:2000),2900,10,2098.1065183951605
Random-(seed:3000),2900,10,2319.813750394079
Proportional-(1),2900,10,2771.156599207032
Proportional-(tasks/res),2900,10,1603.3954357137945
Proportional-(tasks),2900,10,1629.340199716485
FedAvg,2900,10,1640.883394789512
Fed-LBAP,2900,10,1598.4533892551722
OLAR,2900,10,1598.4533892551722
Random-(seed:1000),3000,10,3196.999256610867
Random-(seed:2000),3000,10,3025.807083807543
Random-(seed:3000),3000,10,2920.2000301864177
Proportional-(1),3000,10,2867.117234930268
Proportional-(tasks/res),3000,10,1657.6028337155542
Proportional-(tasks),3000,10,1681.341404011613
FedAvg,3000,10,1690.3745225008731
Fed-LBAP,3000,10,1654.5611686441453
OLAR,3000,10,1654.5611686441453
Random-(seed:1000),3100,10,2566.2150092604015
Random-(seed:2000),3100,10,3051.694218672855
Random-(seed:3000),3100,10,3400.2927401620095
Proportional-(1),3100,10,2948.151247177752
Proportional-(tasks/res),3100,10,1712.6319165674142
Proportional-(tasks),3100,10,1737.560080667418
FedAvg,3100,10,1746.3078594851916
Fed-LBAP,3100,10,1707.670892343825
OLAR,3100,10,1707.670892343825
Random-(seed:1000),3200,10,3806.9423763698824
Random-(seed:2000),3200,10,2931.5292056765584
Random-(seed:3000),3200,10,2459.4245503169427
Proportional-(1),3200,10,3042.07817277924
Proportional-(tasks/res),3200,10,1767.1144008010249
Proportional-(tasks),3200,10,1787.3628171886808
FedAvg,3200,10,1792.900762448541
Fed-LBAP,3200,10,1760.6129797558826
OLAR,3200,10,1760.6129797558826
Random-(seed:1000),3300,10,2906.3892401584826
Random-(seed:2000),3300,10,3347.0717120505387
Random-(seed:3000),3300,10,4975.791182749263
Proportional-(1),3300,10,3129.445983312189
Proportional-(tasks/res),3300,10,1818.8567234997588
Proportional-(tasks),3300,10,1841.6889537071315
FedAvg,3300,10,1857.0413287557576
Fed-LBAP,3300,10,1814.3939335084249
OLAR,3300,10,1814.3939335084249
Random-(seed:1000),3400,10,3321.9390036559657
Random-(seed:2000),3400,10,3014.8955908144317
Random-(seed:3000),3400,10,3109.348539005768
Proportional-(1),3400,10,3239.7385803616617
Proportional-(tasks/res),3400,10,1873.1339473650785
Proportional-(tasks),3400,10,1912.1955190439205
FedAvg,3400,10,1913.895437955253
Fed-LBAP,3400,10,1868.7171329406979
OLAR,3400,10,1868.7171329406979
Random-(seed:1000),3500,10,2952.520424409833
Random-(seed:2000),3500,10,2891.7154949788965
Random-(seed:3000),3500,10,3471.007373887279
Proportional-(1),3500,10,3332.5616165089546
Proportional-(tasks/res),3500,10,1935.6562521023284
Proportional-(tasks),3500,10,1962.3406229404357
FedAvg,3500,10,1967.7704503587245
Fed-LBAP,3500,10,1926.9057475714067
OLAR,3500,10,1926.9057475714067
Random-(seed:1000),3600,10,3585.1296315104614
Random-(seed:2000),3600,10,3243.9115799607466
Random-(seed:3000),3600,10,2983.657679495893
Proportional-(1),3600,10,3418.431930518593
Proportional-(tasks/res),3600,10,1992.6982766808023
Proportional-(tasks),3600,10,2022.2213366189408
FedAvg,3600,10,2030.425699883925
Fed-LBAP,3600,10,1985.3797965857466
OLAR,3600,10,1985.3797965857466
Random-(seed:1000),3700,10,3169.869202896433
Random-(seed:2000),3700,10,2644.444592680994
Random-(seed:3000),3700,10,3208.0937320341927
Proportional-(1),3700,10,3511.772633094623
Proportional-(tasks/res),3700,10,2042.5779511403023
Proportional-(tasks),3700,10,2085.2501549842086
FedAvg,3700,10,2084.014187878541
Fed-LBAP,3700,10,2039.4110745011844
OLAR,3700,10,2039.4110745011844
Random-(seed:1000),3800,10,3498.0973028484163
Random-(seed:2000),3800,10,3487.653243657531
Random-(seed:3000),3800,10,4488.251819082626
Proportional-(1),3800,10,3596.220823941088
Proportional-(tasks/res),3800,10,2103.848075801721
Proportional-(tasks),3800,10,2138.0996928319423
FedAvg,3800,10,2154.0110415331937
Fed-LBAP,3800,10,2096.678043543612
OLAR,3800,10,2096.678043543612
Random-(seed:1000),3900,10,4031.549912229168
Random-(seed:2000),3900,10,3365.2173311735696
Random-(seed:3000),3900,10,4448.540856204455
Proportional-(1),3900,10,3705.336260331813
Proportional-(tasks/res),3900,10,2157.796460333677
Proportional-(tasks),3900,10,2196.739214562852
FedAvg,3900,10,2203.375352372424
Fed-LBAP,3900,10,2153.6228758494763
OLAR,3900,10,2153.6228758494763
Random-(seed:1000),4000,10,3867.937183134967
Random-(seed:2000),4000,10,3374.8429326710725
Random-(seed:3000),4000,10,3368.0345338636184
Proportional-(1),4000,10,3779.4687896576092
Proportional-(tasks/res),4000,10,2219.143138833938
Proportional-(tasks),4000,10,2269.4972911118216
FedAvg,4000,10,2277.481159030647
Fed-LBAP,4000,10,2208.7005401759134
OLAR,4000,10,2208.7005401759134
Random-(seed:1000),4100,10,3900.621322161402
Random-(seed:2000),4100,10,3752.3167161371775
Random-(seed:3000),4100,10,3882.258733956307
Proportional-(1),4100,10,3884.840139211193
Proportional-(tasks/res),4100,10,2276.2385886586862
Proportional-(tasks),4100,10,2320.222805790965
FedAvg,4100,10,2326.365813697025
Fed-LBAP,4100,10,2264.626491193517
OLAR,4100,10,2264.626491193517
Random-(seed:1000),4200,10,3506.8224133144386
Random-(seed:2000),4200,10,3788.6711411502542
Random-(seed:3000),4200,10,4754.041016639795
Proportional-(1),4200,10,3980.299442844386
Proportional-(tasks/res),4200,10,2334.3705155733273
Proportional-(tasks),4200,10,2364.389275846849
FedAvg,4200,10,2376.054898273862
Fed-LBAP,4200,10,2319.813750394079
OLAR,4200,10,2319.813750394079
Random-(seed:1000),4300,10,4488.251819082626
Random-(seed:2000),4300,10,4298.303233518609
Random-(seed:3000),4300,10,4491.127404953115
Proportional-(1),4300,10,4089.9352813235564
Proportional-(tasks/res),4300,10,2381.0459096732156
Proportional-(tasks),4300,10,2422.5013094790925
FedAvg,4300,10,2427.80646423045
Fed-LBAP,4300,10,2376.212033058249
OLAR,4300,10,2376.212033058249
Random-(seed:1000),4400,10,3785.8316161620846
Random-(seed:2000),4400,10,3558.4632273554976
Random-(seed:3000),4400,10,3519.9625540229267
Proportional-(1),4400,10,4184.735931524328
Proportional-(tasks/res),4400,10,2441.3445969291174
Proportional-(tasks),4400,10,2472.5303877403203
FedAvg,4400,10,2486.671311663412
Fed-LBAP,4400,10,2428.8326558435183
OLAR,4400,10,2428.8326558435183
Random-(seed:1000),4500,10,4682.090036925465
Random-(seed:2000),4500,10,4317.308968138043
Random-(seed:3000),4500,10,4589.7550803356
Proportional-(1),4500,10,4300.167553236744
Proportional-(tasks/res),4500,10,2495.5878093702554
Proportional-(tasks),4500,10,2531.3959427253444
FedAvg,4500,10,2539.28313329412
Fed-LBAP,4500,10,2487.116204861657
OLAR,4500,10,2487.116204861657
Random-(seed:1000),4600,10,3358.170862887635
Random-(seed:2000),4600,10,5719.6658816017825
Random-(seed:3000),4600,10,4334.047829189036
Proportional-(1),4600,10,4391.271356891682
Proportional-(tasks/res),4600,10,2548.1596577337264
Proportional-(tasks),4600,10,2590.3066164156876
FedAvg,4600,10,2597.2886550996272
Fed-LBAP,4600,10,2539.2792364173347
OLAR,4600,10,2539.2792364173347
Random-(seed:1000),4700,10,3882.258733956307
Random-(seed:2000),4700,10,3553.6971079051464
Random-(seed:3000),4700,10,4725.843374676437
Proportional-(1),4700,10,4476.577279832909
Proportional-(tasks/res),4700,10,2618.065860848362
Proportional-(tasks),4700,10,2650.756489720913
FedAvg,4700,10,2653.751931114397
Fed-LBAP,4700,10,2597.2886550996272
OLAR,4700,10,2597.2886550996272
Random-(seed:1000),4800,10,3517.251184369053
Random-(seed:2000),4800,10,4696.047838368969
Random-(seed:3000),4800,10,5054.2283196105345
Proportional-(1),4800,10,4570.634799255814
Proportional-(tasks/res),4800,10,2660.91567124231
Proportional-(tasks),4800,10,2715.661387502946
FedAvg,4800,10,2724.6305086772472
Fed-LBAP,4800,10,2650.3444603454473
OLAR,4800,10,2650.3444603454473
Random-(seed:1000),4900,10,3590.254547420416
Random-(seed:2000),4900,10,3945.7338043507993
Random-(seed:3000),4900,10,3632.2203822147644
Proportional-(1),4900,10,4657.227842957108
Proportional-(tasks/res),4900,10,2717.169831124897
Proportional-(tasks),4900,10,2781.4533041534437
FedAvg,4900,10,2785.026015133755
Fed-LBAP,4900,10,2708.247362812816
OLAR,4900,10,2708.247362812816
Random-(seed:1000),5000,10,3552.894673512185
Random-(seed:2000),5000,10,5568.434234421841
Random-(seed:3000),5000,10,4019.156667238588
Proportional-(1),5000,10,4732.790484904287
Proportional-(tasks/res),5000,10,2771.176603741605
Proportional-(tasks),5000,10,2836.9656854860727
FedAvg,5000,10,2845.8822514090143
Fed-LBAP,5000,10,2766.315110313897
OLAR,5000,10,2766.315110313897
Random-(seed:1000),5100,10,4590.325129684813
Random-(seed:2000),5100,10,4336.280680111416
Random-(seed:3000),5100,10,4071.5100089138755
Proportional-(1),5100,10,4802.940976590325
Proportional-(tasks/res),5100,10,2825.84026662111
Proportional-(tasks),5100,10,2907.2873977988766
FedAvg,5100,10,2916.2427052684193
Fed-LBAP,5100,10,2820.681913417708
OLAR,5100,10,2820.681913417708
Random-(seed:1000),5200,10,5307.406340696485
Random-(seed:2000),5200,10,4056.708256595795
Random-(seed:3000),5200,10,4561.122295952818
Proportional-(1),5200,10,4895.67831698625
Proportional-(tasks/res),5200,10,2882.7893578071617
Proportional-(tasks),5200,10,2947.8505437042722
FedAvg,5200,10,2954.6735676898197
Fed-LBAP,5200,10,2873.6691052051406
OLAR,5200,10,2873.6691052051406
Random-(seed:1000),5300,10,5098.9657518200565
Random-(seed:2000),5300,10,5067.730093747839
Random-(seed:3000),5300,10,4023.2038480524284
Proportional-(1),5300,10,5000.002596580051
Proportional-(tasks/res),5300,10,2940.314302551722
Proportional-(tasks),5300,10,3004.8875090380147
FedAvg,5300,10,3007.0862019591796
Fed-LBAP,5300,10,2925.414851466907
OLAR,5300,10,2925.414851466907
Random-(seed:1000),5400,10,5471.012912624592
Random-(seed:2000),5400,10,4743.066298366887
Random-(seed:3000),5400,10,4123.26726747092
Proportional-(1),5400,10,5088.097008589785
Proportional-(tasks/res),5400,10,2989.054722023777
Proportional-(tasks),5400,10,3065.3893273061576
FedAvg,5400,10,3065.3893273061576
Fed-LBAP,5400,10,2980.7797943402243
OLAR,5400,10,2980.7797943402243
Random-(seed:1000),5500,10,4994.052950933206
Random-(seed:2000),5500,10,5527.347218842996
Random-(seed:3000),5500,10,5374.046685148292
Proportional-(1),5500,10,5193.792745392427
Proportional-(tasks/res),5500,10,3047.3497138626462
Proportional-(tasks),5500,10,3121.4644359596873
FedAvg,5500,10,3128.9652062101804
Fed-LBAP,5500,10,3036.9335522605897
OLAR,5500,10,3036.9335522605897
Random-(seed:1000),5600,10,6174.3806112225375
Random-(seed:2000),5600,10,5695.323854228252
Random-(seed:3000),5600,10,6417.812891635073
Proportional-(1),5600,10,5289.075177424071
Proportional-(tasks/res),5600,10,3093.2274043089737
Proportional-(tasks),5600,10,3171.2817371019064
FedAvg,5600,10,3180.2292822029353
Fed-LBAP,5600,10,3088.6476281037353
OLAR,5600,10,3088.6476281037353
Random-(seed:1000),5700,10,4219.740606795133
Random-(seed:2000),5700,10,4582.172598232867
Random-(seed:3000),5700,10,6168.05471292103
Proportional-(1),5700,10,5386.659640052717
Proportional-(tasks/res),5700,10,3147.027225831395
Proportional-(tasks),5700,10,3239.2923945231623
FedAvg,5700,10,3249.073422714687
Fed-LBAP,5700,10,3143.0890500460714
OLAR,5700,10,3143.0890500460714
Random-(seed:1000),5800,10,5385.0347757000445
Random-(seed:2000),5800,10,5971.914559531014
Random-(seed:3000),5800,10,5204.167772561815
Proportional-(1),5800,10,5478.542099351769
Proportional-(tasks/res),5800,10,3222.6733776626043
Proportional-(tasks),5800,10,3298.5769199884708
FedAvg,5800,10,3305.8627720987297
Fed-LBAP,5800,10,3199.1925617855277
OLAR,5800,10,3199.1925617855277
Random-(seed:1000),5900,10,5376.769721511518
Random-(seed:2000),5900,10,5287.582809563792
Random-(seed:3000),5900,10,5373.8892281967455
Proportional-(1),5900,10,5567.2489215549485
Proportional-(tasks/res),5900,10,3266.5795549050977
Proportional-(tasks),5900,10,3355.105236793082
FedAvg,5900,10,3357.1965816152006
Fed-LBAP,5900,10,3257.042313555341
OLAR,5900,10,3257.042313555341
Random-(seed:1000),6000,10,5733.131528491177
Random-(seed:2000),6000,10,5174.665463768482
Random-(seed:3000),6000,10,5424.982919539915
Proportional-(1),6000,10,5658.412506230907
Proportional-(tasks/res),6000,10,3326.9349715183344
Proportional-(tasks),6000,10,3400.2927401620095
FedAvg,6000,10,3403.6175191834323
Fed-LBAP,6000,10,3311.9761143188216
OLAR,6000,10,3311.9761143188216
Random-(seed:1000),6100,10,7652.172274883034
Random-(seed:2000),6100,10,6510.9851811965345
Random-(seed:3000),6100,10,5446.429159905691
Proportional-(1),6100,10,5762.300081266579
Proportional-(tasks/res),6100,10,3384.6003513303044
Proportional-(tasks),6100,10,3446.831576735564
FedAvg,6100,10,3446.831576735564
Fed-LBAP,6100,10,3362.137676314987
OLAR,6100,10,3362.137676314987
Random-(seed:1000),6200,10,5130.6787482155
Random-(seed:2000),6200,10,7393.433250099145
Random-(seed:3000),6200,10,5328.70276662838
Proportional-(1),6200,10,5851.922197121734
Proportional-(tasks/res),6200,10,3435.4375213749922
Proportional-(tasks),6200,10,3489.4462228286693
FedAvg,6200,10,3491.072580663565
Fed-LBAP,6200,10,3418.431930518593
OLAR,6200,10,3418.431930518593
Random-(seed:1000),6300,10,5541.873315177783
Random-(seed:2000),6300,10,5358.491454434125
Random-(seed:3000),6300,10,4556.7095166203535
Proportional-(1),6300,10,5957.30335049185
Proportional-(tasks/res),6300,10,3484.9793294706615
Proportional-(tasks),6300,10,3536.3918504266876
FedAvg,6300,10,3540.578225872221
Fed-LBAP,6300,10,3470.5838057160195
OLAR,6300,10,3470.5838057160195
Random-(seed:1000),6400,10,5954.152746212718
Random-(seed:2000),6400,10,5522.05714715364
Random-(seed:3000),6400,10,6181.845428930007
Proportional-(1),6400,10,6054.3417187038185
Proportional-(tasks/res),6400,10,3530.0041482998195
Proportional-(tasks),6400,10,3588.3363372764393
FedAvg,6400,10,3588.3363372764393
Fed-LBAP,6400,10,3522.7387184639024
OLAR,6400,10,3522.7387184639024
Random-(seed:1000),6500,10,9014.973656831778
Random-(seed:2000),6500,10,6126.7163754651865
Random-(seed:3000),6500,10,5262.83544761065
Proportional-(1),6500,10,6155.137536236822
Proportional-(tasks/res),6500,10,3581.6162285900073
Proportional-(tasks),6500,10,3627.922194990265
FedAvg,6500,10,3632.252945948908
Fed-LBAP,6500,10,3574.3399653284255
OLAR,6500,10,3574.3399653284255
Random-(seed:1000),6600,10,5890.880703949844
Random-(seed:2000),6600,10,5611.762723777814
Random-(seed:3000),6600,10,6982.330638462343
Proportional-(1),6600,10,6252.121071276361
Proportional-(tasks/res),6600,10,3627.922194990265
Proportional-(tasks),6600,10,3677.2730930042167
FedAvg,6600,10,3686.7914622176086
Fed-LBAP,6600,10,3626.868068397925
OLAR,6600,10,3626.868068397925
Random-(seed:1000),6700,10,6001.001238729084
Random-(seed:2000),6700,10,6074.544159775119
Random-(seed:3000),6700,10,6663.262672301503
Proportional-(1),6700,10,6330.304689485654
Proportional-(tasks/res),6700,10,3691.3132838820356
Proportional-(tasks),6700,10,3736.1202932368237
FedAvg,6700,10,3746.940383717286
Fed-LBAP,6700,10,3681.4189867065193
OLAR,6700,10,3681.4189867065193
Random-(seed:1000),6800,10,4961.228907196253
Random-(seed:2000),6800,10,6434.7597000477435
Random-(seed:3000),6800,10,5794.006168634489
Proportional-(1),6800,10,6411.00330801989
Proportional-(tasks/res),6800,10,3744.1117924660157
Proportional-(tasks),6800,10,3792.180251847677
FedAvg,6800,10,3805.8576236871972
Fed-LBAP,6800,10,3736.7649323153023
OLAR,6800,10,3736.7649323153023
Random-(seed:1000),6900,10,6345.280020552624
Random-(seed:2000),6900,10,6099.873296132738
Random-(seed:3000),6900,10,7176.188433474015
Proportional-(1),6900,10,6510.807013335708
Proportional-(tasks/res),6900,10,3798.508921376437
Proportional-(tasks),6900,10,3835.0445442404653
FedAvg,6900,10,3855.25758202392
Fed-LBAP,6900,10,3791.955133072264
OLAR,6900,10,3791.955133072264
Random-(seed:1000),7000,10,6859.983879324228
Random-(seed:2000),7000,10,6112.728879918813
Random-(seed:3000),7000,10,5959.436309677847
Proportional-(1),7000,10,6602.875108494902
Proportional-(tasks/res),7000,10,3855.25758202392
Proportional-(tasks),7000,10,3889.9361933535233
FedAvg,7000,10,3895.7170097121184
Fed-LBAP,7000,10,3846.3980435962803
OLAR,7000,10,3846.3980435962803
Random-(seed:1000),7100,10,8425.434634461666
Random-(seed:2000),7100,10,7061.710412065012
Random-(seed:3000),7100,10,6264.8757308610575
Proportional-(1),7100,10,6711.889832306162
Proportional-(tasks/res),7100,10,3904.65256364263
Proportional-(tasks),7100,10,3933.785365336968
FedAvg,7100,10,3956.746173322619
Fed-LBAP,7100,10,3895.6829780026624
OLAR,7100,10,3895.6829780026624
Random-(seed:1000),7200,10,5926.500175761267
Random-(seed:2000),7200,10,7389.141217656955
Random-(seed:3000),7200,10,5688.154264053541
Proportional-(1),7200,10,6816.750565700358
Proportional-(tasks/res),7200,10,3955.942687241399
Proportional-(tasks),7200,10,4002.496698299417
FedAvg,7200,10,4013.236007914161
Fed-LBAP,7200,10,3948.7256242559906
OLAR,7200,10,3948.7256242559906
Random-(seed:1000),7300,10,8018.557890894189
Random-(seed:2000),7300,10,5960.003518536333
Random-(seed:3000),7300,10,6905.486066592787
Proportional-(1),7300,10,6926.532292839373
Proportional-(tasks/res),7300,10,4009.307237164678
Proportional-(tasks),7300,10,4052.906588043169
FedAvg,7300,10,4072.634138683613
Fed-LBAP,7300,10,4007.854333801337
OLAR,7300,10,4007.854333801337
Random-(seed:1000),7400,10,6951.417797786314
Random-(seed:2000),7400,10,5924.651391935467
Random-(seed:3000),7400,10,7234.342298617676
Proportional-(1),7400,10,7014.898330881089
Proportional-(tasks/res),7400,10,4084.4632893449884
Proportional-(tasks),7400,10,4106.491487720068
FedAvg,7400,10,4121.839843919076
Fed-LBAP,7400,10,4067.309308900139
OLAR,7400,10,4067.309308900139
Random-(seed:1000),7500,10,8626.532859840067
Random-(seed:2000),7500,10,6293.491539561705
Random-(seed:3000),7500,10,8952.120772725191
Proportional-(1),7500,10,7116.086476215623
Proportional-(tasks/res),7500,10,4131.093295483928
Proportional-(tasks),7500,10,4166.206768995009
FedAvg,7500,10,4182.701273193548
Fed-LBAP,7500,10,4121.863737717988
OLAR,7500,10,4121.863737717988
Random-(seed:1000),7600,10,6257.212206418139
Random-(seed:2000),7600,10,6739.436722282726
Random-(seed:3000),7600,10,8356.140619263168
Proportional-(1),7600,10,7208.7269088963585
Proportional-(tasks/res),7600,10,4191.304285634324
Proportional-(tasks),7600,10,4227.182381326823
